Source,Target,Weight
Aeneas,Jupiter,34
Aeneas,Venus,23
Aeneas,Ascanius,22
Aeneas,Dido,20
Aeneas,Evander,17
Aeneas,Priam,17
Venus,Jupiter,16
Aeneas,Anchises,15
Anchises,Ascanius,10
Anchises,Jupiter,10
Pallas,Evander,9
Aeneas,Cupid,9
Aeneas,Pallas,9
Priam,Ascanius,8
Aeneas,Hector,8
Hector,Priam,8
Aeneas,Lavinia,7
Aeneas,Mezentius,7
Jupiter,Ascanius,7
Dido,Venus,7
Priam,Jupiter,7
Anchises,Priam,7
Nisus,Euryalus,6
Jupiter,Juturna,6
Anchises,Venus,6
Dido,Priam,5
Evander,Mezentius,5
Hector,Venus,5
Dido,Jupiter,5
Priam,Venus,5
Creusa,Ascanius,5
Venus,Ascanius,4
Aeneas,Nisus,4
Aeneas,Camilla,4
Dido,Ascanius,4
Aeneas,Euryalus,4
Mezentius,Lausus,4
Evander,Ascanius,4
Aeneas,Augustus,4
Jupiter,Cupid,4
Pyrrhus,Priam,4
Anchises,Pallas,4
Creusa,Priam,4
Jupiter,Mezentius,3
Aeneas,Lausus,3
Hector,Ascanius,3
Pallas,Mezentius,3
Priam,Cupid,3
Ascanius,Cupid,3
Venus,Cupid,3
Ascanius,Augustus,3
Lavinia,Ascanius,3
Evander,Jupiter,3
Pallas,Ascanius,2
Pallas,Priam,2
Evander,Camilla,2
Pallas,Lausus,2
Amata,Allecto,2
Pyrrhus,Ascanius,2
Jupiter,Lausus,2
Priam,Nisus,2
Ascanius,Euryalus,2
Priam,Euryalus,2
Aeneas,Mercury,2
Anchises,Hector,2
Dido,Cupid,2
Anchises,Creusa,2
Nisus,Cupid,2
Aeneas,Allecto,2
Aeneas,Juturna,2
Hector,Pyrrhus,2
Hector,Jupiter,2
Euryalus,Cupid,2
Lavinia,Amata,2
Aeneas,Amata,2
Anchises,Cupid,2
Camilla,Cupid,1
Cupid,Allecto,1
Camilla,Augustus,1
Jupiter,Euryalus,1
Venus,Lausus,1
Jupiter,Nisus,1
Ascanius,Allecto,1
Ascanius,Mercury,1
Ascanius,Nisus,1
Venus,Allecto,1
Venus,Augustus,1
Ascanius,Camilla,1
Jupiter,Augustus,1
Jupiter,Allecto,1
Jupiter,Camilla,1
Venus,Camilla,1
Lavinia,Camilla,1
Priam,Laocoon,1
Evander,Lausus,1
Aeneas,Creusa,1
Aeneas,Pyrrhus,1
Anchises,Dido,1
Anchises,Lavinia,1
Anchises,Evander,1
Dido,Creusa,1
Dido,Hector,1
Dido,Nisus,1
Dido,Euryalus,1
Creusa,Pallas,1
Creusa,Pyrrhus,1
Creusa,Venus,1
Creusa,Nisus,1
Creusa,Euryalus,1
Hector,Augustus,1
Lavinia,Pallas,1
Lavinia,Evander,1
Lavinia,Venus,1
Lavinia,Jupiter,1
Lavinia,Cupid,1
Lavinia,Mercury,1
Lavinia,Allecto,1
Lavinia,Augustus,1
Amata,Priam,1
Pallas,Venus,1
Pallas,Jupiter,1
Pallas,Cupid,1
Evander,Priam,1
Evander,Venus,1
Cupid,Augustus,1
