Source,Target,Weight
Aeneas,Jupiter,340
Aeneas,Venus,230
Aeneas,Ascanius,220
Aeneas,Dido,200
Aeneas,Evander,170
Aeneas,Priam,170
Venus,Jupiter,160
Aeneas,Anchises,150
Anchises,Ascanius,100
Anchises,Jupiter,100
Pallas,Evander,90
Aeneas,Cupid,90
Aeneas,Pallas,90
Priam,Ascanius,80
Aeneas,Hector,80
Hector,Priam,80
Aeneas,Lavinia,70
Aeneas,Mezentius,70
Jupiter,Ascanius,70
Dido,Venus,70
Priam,Jupiter,70
Anchises,Priam,70
Nisus,Euryalus,60
Jupiter,Juturna,60
Anchises,Venus,60
Dido,Priam,50
Evander,Mezentius,50
Hector,Venus,50
Dido,Jupiter,50
Priam,Venus,50
Creusa,Ascanius,50
Venus,Ascanius,40
Aeneas,Nisus,40
Aeneas,Camilla,40
Dido,Ascanius,40
Aeneas,Euryalus,40
Mezentius,Lausus,40
Evander,Ascanius,40
Aeneas,Augustus,40
Jupiter,Cupid,40
Pyrrhus,Priam,40
Anchises,Pallas,40
Creusa,Priam,40
Jupiter,Mezentius,30
Aeneas,Lausus,30
Hector,Ascanius,30
Pallas,Mezentius,30
Priam,Cupid,30
Ascanius,Cupid,30
Venus,Cupid,30
Ascanius,Augustus,30
Lavinia,Ascanius,30
Evander,Jupiter,30
Pallas,Ascanius,20
Pallas,Priam,20
Evander,Camilla,20
Pallas,Lausus,20
Amata,Allecto,20
Pyrrhus,Ascanius,20
Jupiter,Lausus,20
Priam,Nisus,20
Ascanius,Euryalus,20
Priam,Euryalus,20
Aeneas,Mercury,20
Anchises,Hector,20
Dido,Cupid,20
Anchises,Creusa,20
Nisus,Cupid,20
Aeneas,Allecto,20
Aeneas,Juturna,20
Hector,Pyrrhus,20
Hector,Jupiter,20
Euryalus,Cupid,20
Lavinia,Amata,20
Aeneas,Amata,20
Anchises,Cupid,20
Camilla,Cupid,10
Cupid,Allecto,10
Camilla,Augustus,10
Jupiter,Euryalus,10
Venus,Lausus,10
Jupiter,Nisus,10
Ascanius,Allecto,10
Ascanius,Mercury,10
Ascanius,Nisus,10
Venus,Allecto,10
Venus,Augustus,10
Ascanius,Camilla,10
Jupiter,Augustus,10
Jupiter,Allecto,10
Jupiter,Camilla,10
Venus,Camilla,10
Lavinia,Camilla,10
Priam,Laocoon,10
Evander,Lausus,10
Aeneas,Creusa,10
Aeneas,Pyrrhus,10
Anchises,Dido,10
Anchises,Lavinia,10
Anchises,Evander,10
Dido,Creusa,10
Dido,Hector,10
Dido,Nisus,10
Dido,Euryalus,10
Creusa,Pallas,10
Creusa,Pyrrhus,10
Creusa,Venus,10
Creusa,Nisus,10
Creusa,Euryalus,10
Hector,Augustus,10
Lavinia,Pallas,10
Lavinia,Evander,10
Lavinia,Venus,10
Lavinia,Jupiter,10
Lavinia,Cupid,10
Lavinia,Mercury,10
Lavinia,Allecto,10
Lavinia,Augustus,10
Amata,Priam,10
Pallas,Venus,10
Pallas,Jupiter,10
Pallas,Cupid,10
Evander,Priam,10
Evander,Venus,10
Cupid,Augustus,10
